date,open,high,low,close,volume,Name
11/24/2015,66.81,67.61,66.71,67.39,2004232,TEL
11/25/2015,67.34,67.58,66.76,66.78,2458259,TEL
11/27/2015,66.82,67.72,66.66,67.34,1502660,TEL
11/30/2015,67.49,67.57,67.06,67.09,2917972,TEL
12/1/2015,67.2,67.91,67.2,67.6,2089456,TEL
12/2/2015,67.5,67.73,66.46,66.67,2706445,TEL
12/3/2015,67.28,67.28,65.77,66.01,2742717,TEL
12/4/2015,66.23,66.58,65.9,66.41,4157726,TEL
12/7/2015,66.36,66.63,65.975,66.25,2589418,TEL
12/8/2015,65.53,65.69,64.98,65.12,2581647,TEL
12/9/2015,64.72,65.43,63.99,64.27,2879544,TEL
12/10/2015,63.98,64.6,59.21,64.07,2583936,TEL
12/11/2015,63.34,63.69,62.9099,63,2258358,TEL
12/14/2015,63.22,63.46,62.26,62.67,3278563,TEL
12/15/2015,63.36,63.86,63.08,63.27,2749569,TEL
12/16/2015,63.66,64.36,62.99,64.19,1854459,TEL
12/17/2015,64.23,64.58,63.39,63.39,2094275,TEL
12/18/2015,63.01,63.62,62.585,62.75,6282838,TEL
12/21/2015,63.29,63.86,63.08,63.61,2209910,TEL
12/22/2015,63.85,64.58,63.51,64.39,1816739,TEL
12/23/2015,64.74,65.34,64.484,65.25,1564686,TEL
12/24/2015,65.24,65.8,65.09,65.29,1454055,TEL
12/28/2015,65.14,65.63,64.98,65.21,2491529,TEL
12/29/2015,65.65,66.09,65.415,65.75,2416570,TEL
12/30/2015,65.74,66.04,65.44,65.49,1902549,TEL
12/31/2015,65.13,65.43,64.61,64.61,2226420,TEL
1/4/2016,63.47,63.67,62.53,63.44,2872155,TEL
1/5/2016,63.44,63.79,62.84,63.27,2532806,TEL
1/6/2016,62.47,62.8,61.94,62.08,3449390,TEL
1/7/2016,60.77,61.04,58.695,58.79,4167322,TEL
1/8/2016,59,59.37,58.03,58.15,3437530,TEL
1/11/2016,58.6,59.02,57.34,57.92,3622128,TEL
1/12/2016,58.53,58.64,57.62,58.46,2904136,TEL
1/13/2016,58.52,59.21,57.07,57.11,3361394,TEL
1/14/2016,57,58,56.27,57.44,4248189,TEL
1/15/2016,56.1,56.19,54.66,55.08,5032277,TEL
1/19/2016,55.71,55.96,54.87,55.38,4905867,TEL
1/20/2016,59.01,59.01,55.605,56.3,5993548,TEL
1/21/2016,57.05,58.27,56.22,57.32,4978848,TEL
1/22/2016,58.4,58.84,57.74,58,4071876,TEL
1/25/2016,58,58.17,56.33,56.37,2014278,TEL
1/26/2016,59.73,60.06,56.8,57.02,3728081,TEL
1/27/2016,56.75,57.2,55.92,56.22,3723629,TEL
1/28/2016,56.92,56.985,55.545,55.9,3346929,TEL
1/29/2016,56,57.17,55.94,57.16,5767119,TEL
2/1/2016,56.81,57.72,56.54,57.21,4871213,TEL
2/2/2016,56.12,56.48,54.655,54.81,3829210,TEL
2/3/2016,54.97,55.74,53.56,53.8,5710500,TEL
2/4/2016,53.82,55,53.42,54.9,5593899,TEL
2/5/2016,54.55,55.33,53.67,53.88,3651350,TEL
2/8/2016,53.4,53.48,51.89,52.4,3325662,TEL
2/9/2016,51.71,52.76,51.7,52.27,3999825,TEL
2/10/2016,52.75,53.59,52.67,53.14,2750535,TEL
2/11/2016,52.45,53.79,52.39,53.66,4585306,TEL
2/12/2016,54.02,54.95,53.9,54.49,3519784,TEL
2/16/2016,55.18,55.71,54.89,55.5,3235756,TEL
2/17/2016,55.67,56.92,55.65,56.74,2524382,TEL
2/18/2016,57.03,57.56,56.91,57.18,2208935,TEL
2/19/2016,57.16,57.72,56.56,57.61,3111711,TEL
2/22/2016,57.92,58.515,57.73,58.18,2613696,TEL
2/23/2016,57.84,58.22,57,57.27,3446060,TEL
2/24/2016,56.31,57.31,55.67,57.04,3347284,TEL
2/25/2016,56.97,57.43,56.77,57.41,1983591,TEL
2/26/2016,57.59,58,57.42,57.66,2119535,TEL
2/29/2016,57.47,58,56.86,56.92,3918974,TEL
3/1/2016,57.49,59.015,57.31,58.9,2484558,TEL
3/2/2016,58.45,59.345,58.24,59.28,2667913,TEL
3/3/2016,59.51,60.51,59.23,60.48,2516576,TEL
3/4/2016,60.49,60.82,59.85,60.06,1562470,TEL
3/7/2016,59.61,60.65,58.9,60.6,1723663,TEL
3/8/2016,60.29,60.85,59.27,59.4,2058394,TEL
3/9/2016,59.59,59.955,59.325,59.48,2080226,TEL
3/10/2016,59.72,59.855,58.25,59,1554547,TEL
3/11/2016,59.49,59.99,59.42,59.72,1486813,TEL
3/14/2016,59.43,59.75,59.04,59.37,1813026,TEL
3/15/2016,58.94,59.27,58.57,59.15,1454426,TEL
3/16/2016,59.1,59.67,58.97,59.48,1389857,TEL
3/17/2016,59.65,60.94,59.2,60.79,2009424,TEL
3/18/2016,60.98,62.42,60.89,62.23,5630203,TEL
3/21/2016,62.09,62.2,61.59,61.81,1234768,TEL
3/22/2016,61.67,62.27,61.3501,61.71,1256198,TEL
3/23/2016,61.54,61.54,60.95,61.02,990606,TEL
3/24/2016,60.73,60.9701,60.3,60.96,859361,TEL
3/28/2016,61.16,61.64,60.92,61.03,858908,TEL
3/29/2016,60.35,60.94,59.85,60.92,2747974,TEL
3/30/2016,61.27,61.73,60.8,61.18,1144800,TEL
3/31/2016,61.28,62.07,61.07,61.92,1566391,TEL
4/1/2016,61.63,62.17,61.215,62.05,1626094,TEL
4/4/2016,61.97,62.04,61,61.27,1158319,TEL
4/5/2016,60.76,61.38,60.53,60.85,1735687,TEL
4/6/2016,60.81,61.655,60.45,61.61,1118082,TEL
4/7/2016,61.18,61.35,60.47,60.85,1348547,TEL
4/8/2016,61.58,62.32,61.16,61.43,1137919,TEL
4/11/2016,61.77,62.56,61.44,61.95,1709833,TEL
4/12/2016,62.17,62.97,61.94,62.64,1632862,TEL
4/13/2016,63.05,63.52,62.92,63.26,2280371,TEL
4/14/2016,63.18,63.38,62.48,63.33,1348809,TEL
4/15/2016,63.3,63.56,62.98,63.48,1702165,TEL
4/18/2016,63.29,63.68,63.16,63.64,1215640,TEL
4/19/2016,63.95,63.95,63.43,63.69,1826384,TEL
4/20/2016,62.21,62.65,60.37,61.44,3949368,TEL
4/21/2016,61.19,61.47,60.44,61.1,2073989,TEL
